sno,COMPLAINT ID,COMPLAINT DESCRIPTION,COMPLAINT TYPE,RECEIVED DATE,COMPLAINT DATE,COUNTY,CLOSED DATE,STATUS,ZIP CODE
608,8073,HVAC company cutting refrigerant lines and causing freon releases to the atmosphere.,Air,2021-01-19,2021-01-13,Anne Arundel,,Incident Not Applicable to MDE,
609,8072,Dust Issue from Sudbury Granite & Marble,Other,2021-01-19,2021-01-14,Prince Georges,2021-06-08,Incident Closed-Managed,20747
610,8071,Odor in basement,Odor,2021-01-11,2021-01-08,Baltimore,2022-01-27,Incident Closed-Managed,21222
611,8070,Odor complaints in the Dundalk area of Baltimore County,Odor,2021-01-11,2021-01-11,Baltimore,2021-01-11,Incident Closed-Managed,21222
612,8069,Open burning,Open Burning,2021-01-14,2021-01-13,Caroline,2022-03-08,Incident Closed-Managed,
613,8068,Black smoke from Wheelabrator smoke stack.,Smoke,2021-01-10,2021-01-10,Baltimore City,2021-01-13,Incident Closed-Managed,21230
614,8067,That auto shop is painting cars outside.,Odor,2021-01-10,2021-01-10,Baltimore City,2021-01-13,Incident Closed-Managed,
615,8066,That diesel fumes are in the neighborhood due to a running truck.,Odor,2021-01-09,2021-01-09,Baltimore City,2021-01-13,Incident Closed - No further action,
616,8063,Poor Air Quality in town home,Other,2021-01-12,2021-01-12,Prince Georges,2021-01-13,Incident Closed-Managed,
617,8061,Open burning. Smoke.,Air,2021-01-13,2021-01-08,Anne Arundel,2021-01-08,Incident Closed-Managed,
618,8061,Open burning. Smoke.,Air,2021-01-13,2021-01-08,Anne Arundel,2021-01-08,Incident Closed-Managed,
619,8060,Strong odor in the area,Odor,2021-01-11,2021-01-11,Prince Georges,2021-01-13,Incident Closed-Managed,
620,8059,Overspray on site from the paint booth.,Other,2021-01-11,2021-01-11,Harford,2021-01-15,Incident Closed - No further action,21154
621,8058,Boat company sandblasting boats and blowing white dust into the air.,Fugitive Dust/Particulate Matter,2021-01-11,2021-01-11,Queen Annes,2022-03-08,Incident Closed - No further action,
622,8057,Smoke and ash from neighbors open burning in his yard.,Air,2021-01-07,2021-01-07,Anne Arundel,2021-01-07,Incident Closed-No Violation Observed,20751
623,8056,Smoke from neighbors wood burning stove.,Air,2021-01-07,2021-01-04,Charles,,Under Investigation,
624,8051,Concern of materials being burned in fireplace and outside cooker.  Concern of smoke from the burning.,Air,2021-01-04,2020-12-28,Frederick,2021-01-15,Incident Closed-No Violation Observed,21770
625,8019,Spice odors coming from McCormicks,Odor,2021-01-09,2020-12-10,Baltimore,2020-12-11,Incident Closed - No further action,
